,trajectory_no,bag,ID,start_time,end_time
0,0,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000125.0,1689289277.3354251,1689289288.7248054
1,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000126.0,1689289318.8153431,1689289324.7402954
2,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898
3,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000130.0,1689289463.910966,1689289471.6494863
4,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896
5,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000132.0,1689289511.1360555,1689289521.8765376
6,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205
7,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025
8,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000126.0,1689287356.0370624,1689287374.8369002
9,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000127.0,1689287397.9374988,1689287404.4024866
10,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000128.0,1689287414.4769855,1689287422.9687243
11,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000130.0,1689287482.0847545,1689287497.018302
12,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000131.0,1689287515.124072,1689287524.3333418
13,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000132.0,1689287542.8231454,1689287547.764152
14,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000133.0,1689287564.0807445,1689287577.25508
15,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000135.0,1689287673.8520277,1689287678.0702848
16,8,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000136.0,1689287708.1424773,1689287726.5842853
