,trajectory_no,bag,ID,start_time,end_time
0,0,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689288878.538547,1689288913.6884263
1,1,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689288929.1793075,1689288945.1204095
2,2,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689288955.7371178,1689288980.8604743
3,3,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689288988.1604457,1689289004.694076
4,4,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289008.8088999,1689289043.0577285
5,5,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289062.473775
6,6,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289073.4585772,1689289131.7718382
7,7,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289156.821228
8,8,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289187.6132293
9,9,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289210.5621014
10,10,/home/ws/data/20230713T155308_hanh_expert_data/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289240.3680174
11,0,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000124.0,1689286834.57928,1689286876.527873
12,1,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000124.0,1689286897.1041937,1689286909.9852865
13,2,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689286926.884984,1689286957.075524
14,3,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286982.9660957
15,4,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287015.0653431
16,5,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287037.9997244
17,6,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287068.3639374
18,7,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287075.6798353,1689287096.1709476
19,8,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287121.854016
20,9,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287151.378973,1689287190.0942419
21,10,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287226.6261256
22,11,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287233.2265522,1689287250.325741
23,12,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287283.4666216
24,13,/home/ws/data/20230713T151042_steven_g_expert_data/sim_bag_2023_07_13-15_10_43,1000125.0,1689287288.2233472,1689287304.3815823
